"Campaign","Campaign Type","Campaign Status","Budget","Budget Type","Bid Strategy Type","Networks","Languages","Ad Rotation","Start Date"
"C1 | Laser","Search","Paused","4133","Daily","Manual CPC","Google search","es","Optimize","[]"
"C2 | Toxina botulinica","Search","Paused","1450","Daily","Manual CPC","Google search","es","Optimize","[]"
"C4 | Dermatologa Palermo","Search","Paused","1160","Daily","Manual CPC","Google search","es","Optimize","[]"
"C3 | Cosmiatria","Search","Paused","798","Daily","Manual CPC","Google search","es","Optimize","[]"
